title,content,tags
Cause for Popovers not Rising in Oven?,"Today, I was inspired to make popovers. 
I followed this recipe, ""Foolproof Popovers"" but substituted the white flour with whole wheat white flour. 
As for the rest of the directions, I carefully followed all the details: melting the butter, brushing it and preheating the the muffin pan, and heating the milk up, etc.
What would cause popovers to not rise in the oven? Would it be because of the whole wheat white flour. Is it just not possible to use whole white wheat flour?
I did try doing a search and reviewed this answer: What causes popovers to rise so much?
This one explains why they rise but don't give much into troubleshooting the issue.
","baking, bread"
Casing of wieners,"I bought wieners today at a local store and they come with a casing that has writing and a drawing of a chicken. I've never bought wieners like these before and I would like to know if I should remove said casing before cooking
",sausages
Is it possible to subsititute nutella for peanut butter?,"Beyond the obvious differences in flavor, do these two tend to be interchangable?  The consistencies and composition seem close enough to me to make an acceptable substitute, but is it likely to give a significantly different end product with certain types of preparations?
","substitutions, chocolate, nuts"
How should I manage my fridge?,"I try to be careful, I really do, but I found a week old cod smelling 'fishy' in my fridge. Normally, I put the date on the package, so at least I know how long things 'last' in there (lost and forgotten).
So, I made a roster. On the first column is the name of the product/preparation, the first row is the day of the month. I'm putting the number of rations in the cells, and draw a line till the best before date.
I'm thinking about marking prepared foods like: 

In a container (two days) 
In a vacuum (seven days) 
Cooked sous-vide (twenty-one days). 
For the freezer, I'm thinking about ninety days.

Do you think this is a workable system? How do restaurants keep track of their inventory? Is it too complicated? Am I too harsh with the # of days (for instance, should these be depending on the food item?)
","food-safety, storage-method"
Tips on making a sauce out of beef trimmings.,"I have trimmings from a Beef tenderloin and would rather not throw them away. I already have a demi being made and will be making a sauce with cremini, onion, garlic and red wine. 
Tips on handling the trimmings?  
","sauce, beef"
Can you eat turkey eggs?,"I'm considering acquiring a few turkey hens and was wondering can you eat Turkey eggs? Has anyone eaten one? How do they taste?
","eggs, turkey"
Translating cooking terms between US / UK / AU / CA / NZ,"This post is an attempt to keep track of the terms that differ between dialects of English or exist in some dialects but not others: British / Australian / Canadian / American / etc.
Please note that Canada may be difficult to classify, as some regions (especially near the southern border) use US terms, while others may use UK terms.
It's a community wiki, so feel free to edit and clarify or add additional items. The comments are getting long, so use answers for discussion of specific concepts if necessary. If you're not sure what a term means, ask it as a new question and tag it with language)
Also see What international cooking terms sound similar but have different meanings? for similar issues with other languages.
Vegetables:

Eggplant (US, AU) is an aubergine (UK).
Zucchini (US, AU) is a courgette (UK) when harvested young or a marrow (UK, AU) when allowed to mature further.
Summer Squash (US) are members of the squash family with a short storage life typically harvested before full maturity; typically available starting in the spring and summer; includes zucchini, yellow and crookneck squash.
Winter Squash (US) are members of the squash family that are allowed to reach full maturity before harvesting; typically available in the fall; includes pumpkin, acorn and butternut squash.
Arugula (US) is rocket (UK, AU).
Rutabaga (US) is swede (UK, AU), but also called turnip or neep in some parts of the UK, particularly Scotland. (Wikipedia)
Endive (US) is chicory (Belgium, perhaps others).
Capsicum (AU) / bell pepper (US) is a pepper (UK).  Note that for people with a biology background 'capsicum' also includes hot peppers (aka chilies or chili peppers)
Peppers (US) (note the plural), is typically short for chili peppers unless qualified as sweet peppers or bell peppers, or specified as peppercorn.
Colored peppers (US), (eg, red peppers, green peppers), typically refers to bell peppers unless qualified (eg, 'hot red peppers', 'small red peppers')
Pepper (US) (note the singular) refers to black peppercorns unless otherwise qualified.
Red pepper (US, note the singular) refers to dried, red chilies (typically cayenne) that has been dried and ground or crushed.
Seaweed (US) has many names based on type of plant, including Kombu (Japan), Nori (Japan), Laver (Wales), and many others. See (edible seaweed)
Snow peas (US, AU) are mange tout (UK) (word borrowed from French meaning 'eat everything'). Mange tout (UK) also includes sugar snap peas (US).
Peanuts (US, AU) may sometimes be sold in the UK as monkey nuts, especially if unshelled. And Peanut Oil may be known in the UK as groundnut oil.
Legumes (US) are pulses (UK). 'Legume' may refer to the plant and not the seeds (lentils, beans, etc).
Boiling potatoes (US) are waxy potatoes (UK, US).  This refers to low-starch potatoes that don't fall apart when cooked.  Sometimes called roasting potatoes (US).
Mealy potatoes (US) are floury potatoes (UK). This refers to high starch, low moisture potatoes that result in significant softening when cooked (useful for mashed potatoes or using for thickening; the opposite of waxy potatoes).  Sometimes called baking potatoes (US).
Runner Beans (UK) are green beans or string beans (US, CA) (Farmhouse Cookery)
Broad Beans (UK) are fava beans, butter beans or lima beans (US, CA) (Farmhouse Cookery)
Sultanas (UK) are seedless golden raisins (Farmhouse Cookery)
Spring onions (AK, AU, CA), Scallions (US), and green onions may not always be the same thing, but can typically be substituted for each other.  (more details).

Herbs, Spices & Seasonings:

Kosher(ing) salt (US) is flaked salt (UK). Some sea salts may be appropriate substitutes (ref).
Cilantro (US) is known as Coriander (UK, AU), and it tends to refer to the leaf, unless qualified as coriander seed.  May be qualified as fresh coriander or green coriander. Ground coriander is always the seed.
Coriander (US) refers to the seed.
Celeriac (UK, AU, US) is celery root (US) (Farmhouse Cookery)

Baked Goods:

Cookies (US, CA) are biscuits (UK, AU, NZ). 
Biscuits (US, CA) are similar to a scone (UK, AU), and usually neither sweet nor savory. Note: bisquit (Germany, no plural) is sponge cake (US).
Graham Crackers (US) are roughly analogous to Digestive biscuits in the UK (both may be used to make a crust or dessert base, for example).
Muffin (US, AU) is a quick bread (typically using the 'muffin method') baked in forms used for cupcakes. It increasingly has this meaning in the UK too, with the prevalence of American-style coffee-shop chains. Muffin (UK) is english muffin (US, AU), a yeast leavened flat-ish bread, cooked on a griddle with a ring form. 
Scone (US, CA) tends to be sweeter than a scone (UK).
Pancake (US, CA) generally refers to puffy item made from a thick leavened batter. Pancake can go by a number of names in the US, including hotcakes, griddlecakes,  flapjacks and hoecakes. 
Pancake (UK) is made from a thinner unleavened batter, with a result a little thicker than a french crêpe. Drop scone (or scotch pancake) (UK) is similar to a (US, CA) pancake
Flapjack (US) is the same thing as a (US) pancake. But flapjack (UK) is a baked square usually consisting of sugar/honey, butter, and oats.
Frosting (US) is icing (UK, CA, AU). In the US, frosting typically has air whipped into it, while icing (US) doesn't and dries harder.
Turnover (US) or hand pie (US) is pasty (ˈpas-tē) (UK, AU). (Pasties (ˈpās-tēz) in the US are coverings to comply with nudity laws in strip clubs.) Turnover (US,UK) in the UK is a puff pastry shell, usually triangular, filled with fruit and whipped cream.

Flour:

plain flour (UK) is all-purpose flour (US) (aka 'AP flour' or just 'AP' on cooking shows) unless otherwise qualified (eg, 'plain, strong flour') in which case it just means 'not self-rising'.  Note that AP flour in the US South (eg, White Lily brand) tends to be softer than northern and national brands of AP flour (eg, King Arthur, Gold Mill, Pillsbury).
soft flour (UK) is lower gluten than AP flour, such as pastry flour (US) or cake flour (US)
strong flour (UK) aka. hard flour (UK) is higher gluten flour, such as bread flour (US)
self-rising flour (US) is available in the US, but less common. It is referred to as self-raising flour in the UK and AU.  Although it has baking powder in it, it does not have fat in it such as Bisquick or other 'baking mixes'.
wholemeal flour (UK) is whole wheat flour (US)

Meats:

Ground beef (US) is minced beef (AU, UK) or simply mince (UK).
Canadian bacon (US) is also back bacon (from the loin).
Bacon (CA, US) is streaky bacon (UK) (from the belly). In the UK, bacon is most likely back bacon.
Green Bacon (UK) is ""unsmoked bacon cured in brine"" (Farmhouse Cookery)
Gammon (UK) is ""ham-like bacon from the pig's hindquarters"" (Farmhouse Cookery)
Pork rinds (US) are scratchings (UK, when dry) and crackling (AU,NZ & UK when fresh from a roast).
Brawn (UK) is head cheese (US, CA) (Farmhouse Cookery)
Names of cuts of meat in the US may differ from other countries. See Wikipedia for images of US and British names of regions
Prawns (AU, UK) and shrimp (US) are technically different animals, but are frequently labeled by the more common one in that country, and are often substituted for each other.

Dairy:

Cream (US) with 5% butterfat is Single cream (UK), while cream with 48% butterfat (US) is double cream in the UK.
Half-and-half (US) = a mix of half cream, half milk (about 12.5% butterfat)
Light cream (US) = cream with 18 to 30% fat. But in Canada light cream = cream with 5 to 6% fat.
Whipping cream (US) = cream with 30 to 36% fat, whereas whipping cream (CA) = cream with 35% milk fat.
Heavy cream (US) aka heavy whipping cream (US) = cream with more than 36% fat
Buttermilk (US, modern usage, aka 'cultured buttermilk') is a fermented product, basically a runny yogurt, while historically buttermilk is the liquid left over after churning butter, which when fresh is closer to skim milk.
Sour cream (US) = soured cream (UK)

Sugar:

powdered sugar or confectioners sugar (US) is icing sugar (UK, CA, AU); contains cornstarch (~3%) as an anti-clumping agent.
superfine sugar (US, CA) is caster sugar (UK, NZ, AU); may also be called berry sugar (CA), fruit sugar (CA), bar sugar, castor sugar, instant dissolving sugar, ultrafine sugar, fondant sugar, or extra fine sugar.
sanding sugar (US) is pearl sugar (CA).  (size between coarse sugar & granulated sugar)
unless otherwise qualified, sugar (US, CA) is granulated sugar

Other Food / Ingredients:

entree (US) is the main course.  Entree (AU) is a starter course, or appetizer (US) course.  (ref) 
dessert (US, AU) is pudding, sweets, dessert or afters (UK, depending on region and social class).  Pudding is always a cooked item, while dessert may be fresh fruit or other non-cooked item.
pudding (US) is roughly equiv. to custard (UK)
jello (US; brand name issues) is jelly (UK, AU)
jelly (US) is seedless jam (UK)  (see answer below for details)
fries (US, abbr. for french fries) are chips (UK); both terms work in AU, as does hot chips
chips (UK) are steak fries (US), rather than the typical American shoestring fries
chips (US, AU) are crisps (UK)
cornstarch (US) is cornflour (UK, AU)
corn flour (US; aka fine corn meal) is maize flour (AU),
a finer ground version of cornmeal (US,UK) or polenta (US,UK). Cornflour (UK) is the extracted starch derived from the raw corn kernal, not the dry ground flesh of the whole kernal.  Also called masa harina (US) if made from nixtamalized corn.
cornflour (AU) is a powdered starch, but not necessarily made from corn, as there is also 'wheaten cornflour'. (ref)
cider (US) is unfiltered (cloudy) juice, commonly from apples, while cider (UK) is an alcoholic beverage made from apple juice (aka. hard cider (US) or scrumpy (UK) for stronger dry ciders). cider (AU) refers to both the alcoholic beverage and any non-alcoholic carbonated apple juice.
liquid smoke (US) is condensed smoke, used as a flavoring.
black beer (UK) is a malt liquor/fortified wine containing malt. 
black beer (US, Germany), also called black lager or schwarzbier is a type of lager brewed with extremely dark malt. 
tomato sauce (UK, AU) is ketchup (US).  Also catsup and other spelling variants.
tomato sauce (US) is a tomato based sauce typically for pasta or pizza.
marinara (US) is used synonymously with tomato sauce, and may refer to both quick or long-cooked varieties.
tomato paste (US) is tomato purée (UK)
tomato purée (US) is unreduced tomatoes (possibly stewed) with the skin and seeds removed.  Also called crushed tomatoes.
tomato passata (UK) (sometimes just 'passata') is strained tomato purée (US). 
golden syrup (UK) is dark cane sugar syrup (US, CA); corn syrup is an acceptable substitute (Farmhouse Cookery)
rapeseed oil (UK) is Canola oil (US, AU). (abbreviation for ""Canada oil, low acid"")
vegetable oil (US, AU) is any flavorless oil with a decent smoke point.  It may be soy, corn, or a blend, but you can use peanut (groundnut (UK)), canola (rapeseed (UK)), or extra light (not extra virgin) olive oil.
oats (US) unless qualified are 'old fashioned' or 'rolled oats', not groats (which are sold as 'pinhead oats'), 'Steel cut oats' (cut up groats but not flattened, aka. 'Irish oatmeal'), nor 'instant oats' (flattened & parcooked).
granola (US) is a cooked sweetened oat dish that may include nuts or dried fruit, and may be pressed into bars.  It looks similar to muesli (UK) which is raw oats, nuts and fruit.
trail mix (US) is a mixture of nuts and dried fruit.  It may include granola, seeds (eg. sunflower) or chocolate (typically in the form of M&Ms)
Smarties (UK) are similar to the candy M&Ms
Smarties (US) are compressed sugar pellets (similar to PEZ tablets, but round with concave sides, packaged in rolls with twisted ends)

Cooking methods:

broiling (US) is grilling (AU, UK) which is cooking with heat from above as in some ovens or restaurant salamanders.
grilling (US) is barbecuing (AU) which is cooking with heat from below, typically on a metal rack over a vessel of burning wood or charcoal, or a gas burner.
barbecuing (US) is slow cooking using wood or charcoal to impart smoke to the food. This sense is also sometimes used in AU.
barbeque (US) (sometimes abbreviated BBQ) may refer to the either food cooked through barbequeing, or the device on which it is cooked.

Tools / Equipment / Non-food items :

parchment paper (US, CA) is greaseproof paper (Ireland/ UK, NZ) and baking paper (AU)
stove (US, CA, AU) is also range (US, CA) and hob (UK).  Hob can refer to both the stove as a whole, or an individual burner (aka. heating element).
crock pot (US; brand name issues) is a slow cooker (US, UK, AU).  Also slo-cooker (UK; brand name issues) 
food processor (US, CA, AU) is sometimes a magimix (UK; brand name issues)
canned items (US) are tinned (UK, AU). Items 'canned' in glass jars would be described as either preserved or pickled (if in vinegar) in the UK. 
recipe (US) is sometimes called a receipt in other areas and in older usage (pre-20th century).
receipt (US, modern usage) is ""a written acknowledgment of having received a specified amount of money, goods, etc.""
aluminum foil (US), aluminium foil (UK, AU) is often referred to as tinfoil (US, UK), which had previously been in use for similar purposes. It is usually shortened to foil or al-foil in AU.
plastic wrap (US), cling film (UK), cling wrap (AU) is often referred to as Saran™ wrap (US brand name) or Glad™ wrap (NZ, AU brand name) (although no one bothers to say the '™')
liquidiser (UK) is a blender (US, CA) (Farmhouse Cookery). blender in AU refers to both a food processor and a liquidiser.
skillet (US) is a frying pan (US, UK).  (a type of low-sided round cooking vessel with handle (pan (US)), with angled sides.)  
paper towels (US) are kitchen towels or kitchen roll in other countries.
dish towels (US), aka kitchen towels (US) or tea towels (UK), are reusable cloth towels.

Units of measurement & sizing :

teaspoon (US,UK, CA) is 5 mL  (note: abbreviated 't' or 'tsp')
dessert spoon (UK) is 10 mL
tablespoon (US,UK,CA) is roughly 15 mL (note: abbreviated 'T', 'TB', or 'tbsp') but a tablespoon (AU) is 20 mL.  (more details)
A stick of butter (US) is 1/4 lb (113 g); the physical stick is marked into eight ""tablespoon"" divisions [slightly larger than an actual tablespoon, roughly 14g each]
A knob of butter (UK) is somewhere around 2 TB (US), but is an inexact measure.
A pat of butter (US) is between 1 and 2 tsp (5 to 10 mL), most commonly 48 per lb, or ~1.5 tsp.  (~9.5 grams, 7.5mL)
A cup (US) for cooking is a fixed measure of ~236mL (8 fluid ounces, 16 TB, 1/2 a US pint);  Other countries may use a 225mL 'cup' or 250mL 'metric cup' (AU, and some regions of CA?)
A cup of coffee or tea (when measuring electric kettles) may be based on 5 or 6 oz 'cups'.  Always look for the volume in mL or L when buying such items.
A cup of uncooked rice (for rice cooker instructions) is 175mL, roughly 3/4 of a US cup.
A pint (UK, AU) is 20 fluid ounces (591.471 mL), while a pint (US) is 16 fluid ounces (473.176 mL).
A gas mark (UK) refers to the dials on some British gas ovens (Farmhouse Cookery). The marks from 1 to 9 correspond roughly to 275 - 475 °F (at 25 °F intervals) or 140 - 250 °C (at 10 °C intervals) (more detail below)
A tin (UK) of tomatoes is the sized can that it's typically sold in.  For many vegetables, this is a 400mL / ~14oz container, but is not a constant (for example, anchovies or tomato paste).  (ref)
Unless otherwise qualified, assume an egg is about 60 grams.  (a 'large egg' (US,CA), but a 'medium egg' in Europe).  (ref)

","language, cultural-difference"
Cause of foam in fried chicken pan?,"I made chicken katsu tonight following this recipe. I added peanut oil to the pan, let it get hot, then threw in my semi-frozen breaded chicken thighs. As you can see, I cooked them longer than called for because they hadn't totally defrosted yet. Surprisingly, they came out very moist and delicious! 
Anyway, I noticed a foam forming in the pan about midway through cooking. I took the picture below at the very end when I was taking out the chicken, and the foam was still there. What's the cause of this?

","chicken, frying, deep-frying, frozen"
Should a Chef serve a closed clam in a pasta dish?,"Should I serve closed a clam in a Pasta dish?
",food-safety
How can I make edible gold leaf sink in spring water?,"I'm wanting to know, how I can make edible gold leaves sink in spring water? I have added to a bottle of water and the pieces of 24carat gold float and stay at the top rather than sink to the bottom which makes the water unpresentable. I need it to still be safe for drinking and without changing taste, so I can't include any additives. 
","food-science, water, additives"
Emulating Starbucks Frappuccino Cream Base,"At Starbucks, the ""Cream Based"" (no coffee) frappuccinos all use a proprietary syrup base which I would like to emulate to be able to make a reasonable facsimile at home.
When the baristas make a ""Vanilla Bean"" frappuccino, the process goes something like this:

Add a measure of whole milk.
Add an appropriate measure of ice.
Add 3 pumps of aforementioned cream base syrup.
Add a few scoops of vanilla flavored powder.
Blend.

The milk/ice ratio I can play with, I've found a replacement for the vanilla powder that works well, but I'm stumped at re-creating the cream flavored syrup, which unfortunately, is absolutely key to getting the right taste and consistency.
I see some folks selling jugs of the stuff on ebay, which I can only assume is pilfered stock because Starbucks does not sell it retail. Fortunately, there are pictures of the ingredients label on the jug, which gives me a good starting point.
The image of the base is below.
The ingredients are listed as:

Water
Sugar
Salt
Natural and Artificial Flavor
Xanthan Gum (E415)
Potassium Sorbate (E202)
Citric Acid (E330)

I would like some suggestions for what kind of cream flavoring I should use to create my own. Whole milk powder? Coffee creamer? Something else?

","cream, ice-cream, drinks, restaurant-mimicry"
Can one preserve cooked fish with salt?,"I am attempting to replicate a Thai delicacy called 'Pla Tuu'.
It is a small fish that is salted, cooked in water, and then reheated periodically to preserve it.
My question is: Should the initial salting be done before the fish is cooked for the first time, or afterwards?
My worry is that the salt will be washed off or leached out during cooking, and the preservative effects will be lost. On the other hand, I have never heard of preserving a fish or meat after it has been cooked.
","food-safety, food-preservation, fish, thai-cuisine"
Does it make sense to parboil spare ribs before you roast or grill them?,"I was thinking about doing it as a time saving device - any recommendations?
","grilling, boiling, ribs"
Cooked sausages left at room temperature for 5-25 min safe?,"In a restaurant that sells sausages cooks occasionally cook sausages and leave them to the side for 5-25 min or until an order for one comes up. Is that ok?
",food-safety
"Sous vide bath cooled after reaching cooking temperature, still safe to eat?","I was doing boneless short ribs for 48 hrs at 140. I had to leave town suddenly and unexpectedly for a day and I added enough time via WIFI to continue to cook for an addition 16hrs.  
My water level dropped below min while gone and the Sous Vide shut down before I was able to get home.  
The temp of course started to drop.  By the time I get home here in a few hours, the short ribs will have been in water that has been slowing cooling for 8hrs.Current temp 89.1
Is the meat unsafe to eat?
","food-safety, sous-vide, mistakes"
How to store hydrated but uncooked dal short term,"I have soaked toor dal and now I don't need it. 
Can I used it later or next day. 
If yes, should I keep in cover in aluminum or plastic paper? 
","storage-method, pulses"
Should I peel turmeric?,"I want to know whether there is any need to peel the skin of turmeric from a palatability, taste, food safety or hygiene standpoint? Is there any relevant nutrient content, above that of the turmeric flesh, in what is discarded after peeling?
",spices
Montreal Pizza sauce,"I may be partial having lived there most of my life, but now that I live far away, I miss Montreal Pizza.  I can't seem to find a restaurant near me that has a similar flavor or any combination of ingredients that matches the flavor.
Do you have a recipe for the pizza sauce they use in Montreal pizzerias?
Thanks in advance for any input.
","sauce, pizza, restaurant-mimicry"
Boiling pasta and adding pink Himalayan salt,"I boiled pasta and added quite a bit of pink salt. After it was boiled it looked like somebody had spat into it. What might be the cause for this?
","pasta, boiling"
How can I break an emulsion making carotene butter?,"I am making carotene butter by mixing clarified butter and carrot juice.
The idea is that I now need to separate the carotene infused butter from the juice. The only problem being that they are very well emulsified together.
I tried blending it more until the heat and friction would break it, but that has not happened, even after more than 5 minutes of blending on high (my blender's limit. 
I tried heating the liquid to a boil but this did nothing either.
Lastly, I tried decanting it, but it barely separates even after a long time.
How can I break the emulsion?
","butter, emulsion, carrots"
How to make Banana juice,"I have looked up how to make Banana juice because I wondered if it was possible. It turns out that it is.
I read that it is best to use a blender for this.
Wouldn't I just end up with a banana puree if I use a blender to try to juice it?
","fruit, juicing"
Can I use Granulated sugar instead of White sugar?,"I'm making a dark chocolate cake, it calls for white sugar but I have an unopened bag of granulated suagr at home. Can I use that instead to save some money or will I have to buy white sugar?
","baking, cake, chocolate, sugar"
Can i make ice cream with artificial sweetener,"I wonder if an artificial sweetener like sucralose or erythritol could be used to make a reasonably soft ice cream.
",ice-cream
What situations are pressure cookers not appropriate,"I have now pretty much replaced all my long slow cooking dishes (chilli, stews etc) from either cast iron in an oven or stove top to pressure cooking due to the time saving.  
Are there any these sorts of recipe where you should not use a pressure cooker?
",pressure-cooker
Very Bitter Cocoa Powder Measurement,"My father is a retired chef so he is kind of picky with the quality of his ingredients. In most cases it causes no problem, but there is a single exception. The cocoa powder he buys is extremely rich, powerful and bitter as hell. 
It is so much that any recipe I found on the internet which contains cocoa powder becomes a total gamble as I don't have the his gift of measuring by eye. I cannot put the same amount of cocoa from the recipes henceforth I am asking, how do you deal with the amount of very bitter and strong cocoa powder you put into your recipes, compared to normal supermarket stuff?
","baking, measurements, cocoa"
"Can rasam, a South Indian recipe, be boiled at high temperatures?","One of my friends said ""rasam"" should not be boiled at high temperatures but he hasn't given any reason for that statement.
Is it true? If so, could you give me the reason?
",indian-cuisine
"Can crockpot chicken be made with wet ranch dressing, instead of dry?","I am trying to make a recipe like this one, Crock Pot Creamy Ranch Chicken, but I do not have dry ranch dressing.  Will it still work if I use ranch dressing from a bottle instead?  Would I need to change anything else?
","chicken, crockpot, salad-dressing"
"Do pan ""pores"" exist, what are they, and what are their effects?","There are a number of common cooking lore techniques which revolve around the idea of ""pores"" in the surface of a pan.  Two of the ones I've heard most often:
(1) When heating a pan where sticking is a concern, one should wait until the pan is hot before adding oil/fat.  Supposedly the ""pores"" will close as the pan heats, leaving a flatter surface for the oil and less places where the food can get caught.  This is often cited for cooking on stainless steel, but sometimes for other materials as well.  (Some of the answers to this question, for example, cite this as a rationale for preheating pans before adding oil.)
(2) When seasoning cast iron (and sometimes other metals), one should be sure to heat the pan before applying oil.  Supposedly, the ""pores"" open up as the pan heats, allowing the oil/fat to penetrate the surface better and create a better seasoning.  (This has been mentioned a number of times here too, and it also is referenced on the Wikipedia page on seasoning pans, where preheating will ""open the 'pores' of the pan."")
One obvious problem here is the contradictory logic of these claims: in the first case, one heats the pan to ""close"" the ""pores,"" but in the second case, one heats the pan to ""open"" the ""pores.""  Which one is it?
I've heard these claims about ""pores"" and their very existence disputed.  At best, many commentators who seem to know something about properties of metals will say this is a strange shorthand term for the uneven surface of pans at the microscopic level.  (The end of this post and the discussion in comments, for example, contains some speculation along those lines.)
For years, I dismissed a lot of this discussion of ""pores"" as some sort of weird cooking lore myth.  For example, it's good to heat cast iron before seasoning to ensure it's thoroughly dry, regardless of the status of the ""pores"" in the metal.  And some people have done experiments claiming it doesn't matter whether you preheat a pan before adding oil to avoid sticking.
But I recently came upon a reference to these ""pores"" in Shirley Corriher's Cookwise, where she refers to the first claim I listed above: heating a pan to ""close the pores"" before adding oil/fat.  Alton Brown cites Corriher's claim too in a couple places, including in his Gear for Your Kitchen, where he refers to it as something you had to worry about to stop food from sticking in those ancient times before Teflon existed.  Corriher and Brown have been known to be wrong occasionally, but they generally are careful before citing random cooking lore.
So, are these ""pores"" real?  Do they expand or contract when heated?  Are their supposed culinary effects real?  Or is there some other mechanism or surface feature of metals that is being referenced here?
EDIT: Just to be clear, I'm hoping someone may be able to point to a more reliable discussion of what's going on from a reputable food science (or science in general) source. I have my own thoughts about what may be going on here based on my knowledge of thermodynamics, metallurgical crystalline structures, and general materials science. But in cursory searches, I haven't been able to find any solid discussions of these supposed ""pores"" based on actual scientific evidence.
","food-science, cookware, non-stick, seasoning-pans"
How do I turn on an auto ignition stove?,"I've bought a new stove which is supposed to be auto ignition. If I turn on the gas and turn the knob thing, a flame flickers underneath but the stove doesn't light, I have to use a lighter to light it.
Any ideas what I'm doing wrong?
","equipment, basics, stove"
What is GABA Rice?,"GABA rice seems to command a high premium is only found on Amazon in a few varieties, one by Koshihikari, one by Sempio. Is GABA rice anything but brown rice pre-heated?  Is the GABA setting on a rice cooker for GABA rice? Or, is to cook brown rice in a fashion that makes it GABA-like? And, if so, would there ever be a downside to cooking rice marketed as GABA using the GABA setting? Does that double GABA it?
","rice, nutrient-composition, rice-cooker"
When baking what works well as a sugar substitute?,"I'm curious about what I can use for a sugar substitute while baking. I'm not interested in artificial sweetners, really. For instance, I've found that apple juice works well in some muffins. Are there any substitutes that work particularly well with other baked goods? Any general rules for selecting a substitute?
","substitutions, baking, sugar"
Would adding more egg help crumbling cookies?,"As this is a controversial subject I cannot just ask it to the majority of the women I know that bake. I make cookies for my father who has cancer and was losing weight at an alarming rate until I suggested pot cookies. I have been using Betty Crocker peanut butter cookie mix. The recipe calls for only one egg, I have been having a crumbling issue. It's too expensive to trial and error in this situation. Would adding another egg help?
","eggs, cookies"
Cooking chicken in microwave?,"I hear that chicken breasts can be cooked in microwave and that it's the best way to get it juicy and tender. I have also seen some articles about it on the internet. 
I wonder if this is just a myth or if professionals also use this trick? 
Wouldn't you risk that parts of the chicken is not cooked properly then causing infection? 
","chicken, microwave, chicken-breast"
What is an alternative to chicken broth for Mexican rice?,"A recipe for Mexican rice calls for chicken broth. Where I live, this is difficult to buy and expensive. Is there any alternative?
","substitutions, chicken, mexican-cuisine, broth"
Why does flatbread have to be microwaved / cooked / toasted?,"I was eating at a Subway restaurant the other day and they asked if I would like my flatbread toasted... I responded with a ""No thanks.""
They said, ""Well technically the flatbread still HAS to be toasted, so would you like the meat toasted ?"" 
In confusion, I asked, ""Why? I would prefer it un-toasted.""
They said, ""We are required to toast all flatbread, as it releases some chemical... or something.""
Can anyone clear up what they may be referring to?  Does flatbread (non-homemade) HAVE to be toasted / cooked / microwaved ?
Edit: 

Ingredients: Enriched flour (wheat flour, niacin, reduced iron, thiamine
  mononitrate (vitamin B1), riboflavin (vitamin B2), folic acid, malted
  barley flour), water, soybean oil, yeast, contains 2% or less of
  nonfat dry milk, salt, wheat gluten, sugar, dough conditioner (acacia
  gum, guar gum, ascorbic acid, L- cysteine, enzymes), calcium
  propionate, baking powder (sodium acid pyrophosphate, sodium
  bicarbonate, corn starch, monocalcium phosphate), and sodium stearoyl
  lactylate.

","baking, temperature, microwave, flatbread"
How much pepper/allspice to substitue for cubeb?,"I have a recipe that calls for ""12 cubebs, coarsely crushed"". I've read that a blend of equal parts pepper and allspice can be substituted for a cubeb. However, having never seen a cubeb, I have no idea how big it is, so I don't know how much pepper and allspice to substitute. Additionally, I haven't been able to find any information about the volume of a cubeb or the volume of powder produced when crushing a cubeb online.
How much powder does a cubeb yield when crushed? Alternatively, how much black pepper and allspice should I substitute for 12 crushed cubebs?
","substitutions, pepper"
Any tips on how to cook gruel?,"I like to cook rice gruel every now and then; however I usually encounter a basic problem.
First off, my rough procedure:

Mix (sticky) rice flour and water homogeneously
Pour into cooking pot (possibly hot, doesn't seem to make much of a difference)
Stir thouroughly during cooking, try not to go too high with the temperature so nothing burns.

What I have observed:
At a certain rice-water ratio, i.e. if I favor rice strong enough in the mixture, my gruel will very quickly turn into a blob of quite viscous mass, that has the undesirable property of not cooking evenly, so that I'm left raw patches of dough.  
I have tried stirring the blob for a long time, but I'm not even sure of whether to use higher heat levels or lower ones; the predicament seems to be

Too much heat leads to burning (if not the blob, then the layer sticking to the bottom; too much burning there and everything tastes burnt)
Too little heat: Not enough heat dissipates into the inner parts of the blob.

I'm not yet sure how to avoid this in the best way; does anybody have a good general procedure?
Oh yeah, my specs:  

Glass-top stove
Stainless steel pot
Lotsa love

","rice, flour, cooking-time"
How are black beans cooked for Mexican dishes?,"In the US, some Mexican restaurants and taco vans offer a choice of black beans served as a topping for tacos or tortilla salads. The black beans are not mashed, like refried beans, but served whole.
I bought some dry black beans, but they did not come in any easy-to-prepare can in sauce with instructions. How can I prepare them just as the restaurants do?
","beans, mexican-cuisine"
Cracked Mexican/Spanish style rice,"I've been trying to reproduce my favorite kind of Mexican or Spanish style rice that I find in some restaurants.  It is dry and fluffy and seems to be cracked or split open.  I've gone through many different recipes and videos but the rice always seems to have more moisture than I'm looking for (intentional, for the recipes I'm following) and no split-ness.
I've tried both standard pan and a pressure cooker methods.
Anybody know what the style of rice is called, more specifically, by my description of ""cracked/split"" and perhaps the secret to making it?
Thanks!
","rice, mexican-cuisine, spanish-cuisine"
Applying a binder to chicken after wet marinating,"I usually marinate my chicken breasts/wings in a wet marinade overnight and apply a dry rub shortly before I throw them on the smoker. The main problem I'm facing is that I'm not able to get nice and consistent bark. I was wondering if applying a mustard binder as I would with something like ribs or brisket would help remedy this issue?
","chicken, barbecue, texture, marinade"
